brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,price
ford,utility police interceptor base,2013,51000,e85 flex fuel,3.7l,manual,black,black,Yes,10300
hyundai,palisade sel,2021,34742,gasoline,3.8l,automatic,moonlight cloud,gray,Yes,38005
lexus,rx 350 rx 350,2022,22372,gasoline,3.5l,automatic,blue,black,No,54598
infiniti,q50 hybrid sport,2015,88900,hybrid,3.5l,manual,black,black,No,15500
audi,q3 45 s line premium plus,2021,9835,gasoline,2.0l,automatic,glacier white metallic,black,No,34999
acura,ilx 2.4l,2016,136397,gasoline,3.5l,manual,silver,ebony.,No,14798
audi,s3 2.0t premium plus,2017,84000,gasoline,2.0l,manual,blue,black,No,31000
lexus,rc 350 f sport,2021,23436,gasoline,3.5l,manual,black,black,No,41927
tesla,model x long range plus,2020,34000,electric,3.5l,manual,black,black,No,69950
land,rover range rover sport 3.0 supercharged hst,2021,27608,gasoline,3.5l,automatic,fuji white,pimento / ebony,No,73897
toyota,supra 3.0 premium,2021,12500,gasoline,3.0l,manual,yellow,black,No,53500
lincoln,aviator reserve awd,2022,18196,gasoline,3.0l,manual,black,brown,No,62000
jaguar,f-type,2020,15903,gasoline,3.5l,automatic,silver,black,No,47998
land,rover lr4 hse,2013,79800,gasoline,5.0l,manual,white,black,No,29990
dodge,challenger sxt,2013,61074,gasoline,3.6l,manual,black,gray,No,16800
nissan,350z enthusiast,2003,74000,gasoline,3.5l,manual,purple,black,No,11000
jaguar,f-type r,2018,35250,gasoline,5.0l,manual,green,black,No,68750
genesis,gv70 3.5t sport,2023,5400,gasoline,3.5l,manual,green,beige,Yes,60000
chevrolet,s-10 ls,2000,133510,e85 flex fuel,2.2l,manual,blue,black,No,4500
bmw,440 gran coupe 440i xdrive,2020,25990,gasoline,3.5l,automatic,white,beige,No,38598
ford,f-150 xlt,2023,2823,gasoline,3.5l,automatic,iconic silver metallic,black,No,58504
chevrolet,suburban rst,2021,52000,gasoline,5.3l,manual,blue,black,No,61000
hyundai,elantra n base,2022,11650,gasoline,2.0l,manual,black,black,No,32300
nissan,sentra sr,2016,96541,gasoline,3.5l,automatic,blue,black,No,13998
mercedes-benz,amg cla 45 base 4matic,2021,17500,gasoline,2.0l,manual,gray,black,No,59995
bmw,650 gran coupe i xdrive,2015,69000,gasoline,4.4l,manual,gray,black,No,25700
audi,q5 2.0t premium plus,2017,81880,e85 flex fuel,2.0l,automatic,mythos black metallic,black,No,21375
mercedes-benz,amg c 43 base 4matic,2018,28800,gasoline,3.0l,manual,silver,black,No,48000
