brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,price
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,3.7L,,Black,Black,Yes,10300.0
Hyundai,Palisade SEL,2021,34742,Gasoline,3.8L,Automatic,Moonlight Cloud,Gray,Yes,38005.0
Lexus,RX 350 RX 350,2022,22372,Gasoline,,Automatic,Blue,Black,No,54598.0
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,3.5L,,Black,Black,No,15500.0
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,2.0L,Automatic,Glacier White Metallic,Black,No,34999.0
Acura,ILX 2.4L,2016,136397,Gasoline,,,Silver,Ebony.,No,14798.0
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,2.0L,,Blue,Black,No,31000.0
BMW,740 iL,2001,242000,Gasoline,4.4L,,Green,Green,No,7300.0
Lexus,RC 350 F Sport,2021,23436,Gasoline,3.5L,,Black,Black,No,41927.0
Tesla,Model X Long Range Plus,2020,34000,,,,Black,Black,No,69950.0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,,Automatic,Fuji White,Pimento / Ebony,No,73897.0
Aston,Martin DBS Superleggera,2019,22770,Gasoline,5.2L,,Silver,Black,No,184606.0
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,3.0L,,Yellow,Black,No,53500.0
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,3.0L,,Black,Brown,No,62000.0
Jaguar,F-TYPE,2020,15903,Gasoline,,Automatic,Silver,Black,No,47998.0
Land,Rover LR4 HSE,2013,79800,Gasoline,5.0L,,White,Black,No,29990.0
Mercedes-Benz,Metris Base,2021,1685,Gasoline,2.0L,Automatic,Gray,White,No,250000.0
Dodge,Challenger SXT,2013,61074,Gasoline,3.6L,,Black,Gray,No,16800.0
Nissan,350Z Enthusiast,2003,74000,Gasoline,3.5L,,Purple,–,No,11000.0
Jaguar,F-TYPE R,2018,35250,Gasoline,5.0L,,Green,Black,No,68750.0
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,3.5L,,Green,Beige,Yes,60000.0
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,2.2L,,Blue,Black,No,4500.0
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,,Automatic,White,Beige,No,38598.0
Ford,F-150 XLT,2023,2823,Gasoline,3.5L,Automatic,Iconic Silver Metallic,Black,No,58504.0
Chevrolet,Suburban RST,2021,52000,Gasoline,5.3L,,Blue,Black,No,61000.0
Hyundai,Elantra N Base,2022,11650,Gasoline,2.0L,,Black,Black,No,32300.0
Nissan,Sentra SR,2016,96541,Gasoline,,Automatic,Blue,Black,No,13998.0
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,2.0L,,Gray,Black,No,59995.0
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,4.4L,,Gray,Black,No,25700.0
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0L,Automatic,Mythos Black Metallic,Black,No,21375.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,3.0L,,Silver,Black,No,48000.0
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,5.7L,,Silver,Gray,Yes,10900.0
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,,Automatic,Black,Black,No,24998.0
Kia,Sorento SX,2011,171000,Gasoline,3.5L,,Black,Black,No,5999.0
Lexus,LX 570 Base,2016,118700,Gasoline,5.7L,,Black,Beige,No,46900.0
Jeep,New Compass Trailhawk,2017,119000,Gasoline,2.4L,,Red,Black,No,15900.0
BMW,340 i,2018,44261,Gasoline,,Automatic,Gray,Black,No,33598.0
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,2.0L,,Silver,Black,No,8999.0
Hyundai,Tucson SE,2007,16200,Gasoline,2.7L,,Gold,Beige,No,8200.0
BMW,Z4 sDrive28i,2014,70000,Gasoline,2.0L,,White,Beige,Yes,20000.0
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,6.0L,,Black,Black,No,79950.0
Honda,Passport Elite,2023,2978,Gasoline,,Automatic,Lunar Silver Metallic,Gray,No,45498.0
Dodge,Sprinter 2500,2007,189719,Diesel,3.0L,,White,Gray,Yes,14000.0
BMW,M850 i xDrive,2019,9949,Gasoline,,Automatic,Blue,Black,No,75798.0
Lucid,Air Grand Touring,2022,3552,,,,Red,Beige,No,119999.0
Audi,A7 Premium,2012,54000,Gasoline,3.0L,,Black,Brown,Yes,36880.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,5.3L,Automatic,Black,Jet Black,No,43147.0
MINI,Convertible John Cooper Works,2017,24280,Gasoline,2.0L,,Black,Black,Yes,29000.0
Toyota,Avalon Touring,2016,89148,Gasoline,3.5L,,Black,Black,No,17500.0
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,3.6L,,White,Black,No,30990.0
